0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"$40,000.01 - $45,000.00",,,5.63,%,,,6.04,%,,,6.09,%,,,4.46,%,,,4.56,%,,,3.65,%,,,2.78,%,,,2.01,%
"$45,000.01 - $50,000.00",,,4.34,%,,,4.55,%,,,4.24,%,,,1.15,%,,,1.24,%,,,1.01,%,,,0.95,%,,,0.84,%
"$50,000.01 and greater",,,7.53,%,,,7.02,%,,,7.74,%,,,0.51,%,,,0.71,%,,,0.40,%,,,1.20,%,,,1.06,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Principal Balance (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$0.01 - $5,000.00",,,0.03,%,,,0.20,%,,,0.38,%,,,0.04,%,,,0.72,%,,,0.30,%,,,0.14,%,,,0.26,%
"$5,000.01 - $10,000.00",,,0.42,%,,,2.01,%,,,2.93,%,,,1.11,%,,,3.38,%,,,3.16,%,,,4.11,%,,,3.45,%
"$10,000.01 - $15,000.00",,,3.28,%,,,3.64,%,,,5.19,%,,,6.41,%,,,8.31,%,,,13.30,%,,,15.45,%,,,12.70,%
"$15,000.01 - $20,000.00",,,11.09,%,,,9.78,%,,,10.79,%,,,17.05,%,,,17.74,%,,,22.64,%,,,22.89,%,,,21.76,%
"$20,000.01 - $25,000.00",,,19.98,%,,,19.22,%,,,18.27,%,,,23.15,%,,,21.85,%,,,20.56,%,,,19.98,%,,,21.76,%
"$25,000.01 - $30,000.00",,,21.90,%,,,21.20,%,,,19.91,%,,,21.10,%,,,18.57,%,,,16.71,%,,,16.23,%,,,17.71,%
"$30,000.01 - $35,000.00",,,17.00,%,,,17.18,%,,,15.81,%,,,15.74,%,,,14.02,%,,,11.65,%,,,10.83,%,,,12.00,%
"$35,000.01 - $40,000.00",,,10.06,%,,,10.37,%,,,10.15,%,,,10.39,%,,,9.57,%,,,7.46,%,,,6.23,%,,,6.88,%
"$40,000.01 - $45,000.00",,,5.18,%,,,5.59,%,,,5.55,%,,,3.67,%,,,4.08,%,,,3.04,%,,,2.34,%,,,1.87,%
"$45,000.01 - $50,000.00",,,4.40,%,,,4.47,%,,,3.97,%,,,0.98,%,,,1.13,%,,,0.86,%,,,0.80,%,,,0.73,%
"$50,000.01 and greater",,,6.65,%,,,6.34,%,,,7.06,%,,,0.38,%,,,0.61,%,,,0.31,%,,,1.00,%,,,0.88,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Mileage (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0 - 5,000",,,29.17,%,,,30.37,%,,,32.79,%,,,20.23,%,,,24.40,%,,,28.55,%,,,29.65,%,,,33.95,%
"5,001 - 10,000",,,2.42,%,,,2.35,%,,,2.15,%,,,2.43,%,,,2.37,%,,,1.90,%,,,1.86,%,,,1.78,%
"10,001 - 15,000",,,2.65,%,,,3.03,%,,,2.66,%,,,3.08,%,,,3.10,%,,,2.65,%,,,2.81,%,,,2.58,%
"15,001 - 20,000",,,3.33,%,,,3.81,%,,,3.24,%,,,3.93,%,,,4.02,%,,,3.56,%,,,3.87,%,,,3.40,%
"20,001 - 25,000",,,3.96,%,,,4.48,%,,,3.96,%,,,4.96,%,,,4.94,%,,,4.46,%,,,4.55,%,,,4.23,%
"25,001 - 30,000",,,4.52,%,,,5.17,%,,,4.37,%,,,5.91,%,,,5.81,%,,,5.52,%,,,5.17,%,,,4.71,%
"30,001 - 35,000",,,4.77,%,,,5.21,%,,,4.88,%,,,6.71,%,,,6.64,%,,,6.94,%,,,5.94,%,,,5.53,%
"35,001 - 40,000",,,4.70,%,,,5.05,%,,,4.61,%,,,6.45,%,,,6.53,%,,,7.28,%,,,7.01,%,,,6.04,%
"40,001 - 45,000",,,4.77,%,,,4.96,%,,,4.62,%,,,6.20,%,,,6.06,%,,,6.57,%,,,6.73,%,,,6.59,%
"45,001 - 50,000",,,4.68,%,,,4.62,%,,,4.32,%,,,5.46,%,,,5.22,%,,,4.90,%,,,5.20,%,,,5.55,%
"50,001 and above",,,35.01,%,,,30.95,%,,,32.41,%,,,34.64,%,,,30.90,%,,,27.67,%,,,27.22,%,,,25.63,%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance)(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350 and lower,,,0.95,%,,,0.93,%,,,0.74,%,,,0.81,%,,,0.53,%,,,0.56,%,,,0.50,%,,,0.68,%
351-400,,,4.54,%,,,4.59,%,,,4.12,%,,,4.45,%,,,3.43,%,,,3.53,%,,,2.90,%,,,4.30,%
401-450,,,31.27,%,,,31.98,%,,,34.13,%,,,16.13,%,,,17.35,%,,,16.93,%,,,16.25,%,,,18.18,%
451-500,,,34.10,%,,,34.89,%,,,33.64,%,,,36.28,%,,,37.55,%,,,36.30,%,,,38.87,%,,,37.32,%
501-550,,,15.51,%,,,16.71,%,,,16.55,%,,,26.94,%,,,26.66,%,,,26.79,%,,,26.15,%,,,25.53,%
551-600,,,9.87,%,,,7.18,%,,,6.95,%,,,11.94,%,,,13.38,%,,,13.23,%,,,12.22,%,,,10.12,%
601 and higher,,,3.76,%,,,3.72,%,,,3.87,%,,,3.45,%,,,1.09,%,,,2.66,%,,,3.11,%,,,3.88,%
Not Available(6),,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%,,,0.00,%
