0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
"50,001 and above",,35.04%,,34.02%,,35.25%,,32.01%,,32.26%,,32.36%,,33.18%,,35.01%
,,,,,,,,,,,,,,,,
Loan Funded Score (% of Aggregate Principal Balance)(5),,,,,,,,,,,,,,,,
450 and lower,,7.23%,,1.56%,,6.21%,,7.44%,,6.55%,,5.83%,,7.07%,,5.07%
451 - 500,,25.30%,,30.58%,,24.69%,,24.02%,,23.56%,,25.68%,,22.52%,,22.65%
501 - 550,,31.84%,,34.16%,,34.17%,,33.28%,,33.42%,,34.21%,,33.17%,,35.00%
551 - 600,,19.97%,,21.80%,,22.77%,,19.98%,,21.22%,,21.71%,,23.27%,,24.34%
601 - 650,,9.82%,,8.18%,,8.28%,,9.67%,,10.69%,,8.18%,,9.58%,,8.65%
651 - 700,,3.75%,,2.63%,,2.63%,,3.70%,,3.19%,,2.97%,,3.24%,,3.03%
701 - 750,,1.25%,,0.78%,,0.77%,,1.17%,,0.97%,,0.91%,,0.90%,,0.99%
751+,,0.84%,,0.31%,,0.47%,,0.74%,,0.41%,,0.51%,,0.26%,,0.26%
Not Available(6),,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%
,,,,,,,,,,,,,,,,
FICO® Score (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,
1 - 500,,4.13%,,3.77%,,3.10%,,3.31%,,3.87%,,3.11%,,3.41%,,3.56%
501 - 550,,13.82%,,14.45%,,12.30%,,12.54%,,12.00%,,12.75%,,12.88%,,12.84%
551 - 600,,25.93%,,26.83%,,27.25%,,26.94%,,25.92%,,27.73%,,27.05%,,26.32%
601 - 650,,21.90%,,24.38%,,30.39%,,29.04%,,28.38%,,29.68%,,29.02%,,30.20%
651 and higher,,18.43%,,16.79%,,15.17%,,15.70%,,16.19%,,15.10%,,15.73%,,17.26%
No FICO® Score(7),,15.79%,,13.78%,,11.78%,,12.47%,,13.63%,,11.63%,,11.90%,,9.82%
,,,,,,,,,,,,,,,,
LTV Range (% of Aggregate Principal Balance),,,,,,,,,,,,,,,,
Less than 100.00%,,25.57%,,28.64%,,26.42%,,28.47%,,29.31%,,28.36%,,30.31%,,26.86%
100.00% - 109.99%,,20.46%,,20.38%,,20.00%,,19.92%,,20.38%,,20.34%,,20.44%,,19.76%
110.00% - 119.99%,,23.39%,,21.16%,,22.36%,,21.86%,,21.64%,,22.39%,,21.33%,,22.52%
120.00% - 129.99%,,16.48%,,15.70%,,16.53%,,16.01%,,15.38%,,15.67%,,14.85%,,16.21%
130.00% - 139.99%,,12.46%,,12.47%,,12.97%,,12.03%,,11.57%,,11.70%,,11.41%,,12.71%
140.00% - 149.99%,,1.63%,,1.65%,,1.71%,,1.70%,,1.70%,,1.53%,,1.65%,,1.94%
150.00% and greater,,0.01%,,0.01%,,0.01%,,0.00%,,0.01%,,0.01%,,0.00%,,0.00%
